Product Name,Product ID,   Price (in Euro)   ,Color,Brand,SKU,Sole-Type,Sale Percentage,  Sale Price  ,Season,Size
Footwear JOMA,Aquila 2101 AGUW2101TF Black Turf,Ä 33.00,Black,Joma,208854290,Flat,New, product not in sale ,All year round,"42.5 , 43.5 , 44 , 44.5"
Chelsea boots GINO ROSSI,MI08-C641-633-14 Brown,Ä 79.95,Brown,Gino Rossi,5903698867946,Flat,0%, product not in sale ,Fall/Winter,"40 , 42 , 43"
Chelsea boots GINO ROSSI,MI08-C641-633-14 Camel,Ä 79.95,Brown,Gino Rossi,5903698867939,Flat,0%, product not in sale ,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45"
Trainers LASOCKI FOR MEN,MI08-C856-858-03 Dark Brown,Ä 49.95,Brown,Lasocki For Men,5903698864112,Flat,0%, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Boots OTTIMO,MYL8392-2 Black,Ä 29.00,Black,Ottimo,5903698738215,Flat,0%, product not in sale ,Fall/Winter,"41 , 42 , 43 , 44 , 45 , 46"
Trainers LASOCKI FOR MEN,MI08-C856-858-03 Black,Ä 49.95,Black,Lasocki For Men,5903698864099,Flat,0%, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Trainers GINO ROSSI,120AM0898 Black,Ä 79.95,Black,Gino Rossi,5903698845630,Flat,0%, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Trainers GINO ROSSI,120AM0898 Cobat Blue,Ä 79.95,Navy Blue,Gino Rossi,5903698845654,Flat,0%, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Trekker Boots ELBRUS,Efate Mid Black/Dark Grey,Ä 66.00,Black,Elbrus,208853712,not defined,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45 , 46"
Trekker Boots ELBRUS,Embses Mid Wp Dark Grey/Black/Lime,Ä 88.00,Navy Blue,Elbrus,208853675,Flat,New, product not in sale ,All year round,"43 , 44 , 45 , 46"
Trekker Boots ELBRUS,Epiter Mid Black/Orange,Ä 59.00,Black,Elbrus,208853651,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45 , 46"
Trekker Boots ELBRUS,Euberen Mid Wp Dark Grey/Black/Tangerin Tango,Ä 78.00,Grey,Elbrus,208853644,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45 , 46"
Trekker Boots ELBRUS,Edgero Mid Wp Black,Ä 83.00,Black,Elbrus,208853637,not defined,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45 , 46"
Trekker Boots HI-TEC,Hobori Low WS-AW21-HT-01-Q3 Black/Red,Ä 47.00,Black,Hi-Tec,208853521,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45 , 46"
Trekker Boots HI-TEC,Hengelo Mid WS-AW21-HT-01-Q3 Black,Ä 47.00,Black,Hi-Tec,208853507,Flat,New, product not in sale ,Fall/Winter,"41 , 42 , 43 , 44 , 45 , 46"
Trekker Boots HI-TEC,Medin Mid WS-AW21-HT-01-Q3 Black/Lime,Ä 47.00,Black,Hi-Tec,208853484,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45 , 46"
Trekker Boots HI-TEC,Medin Mid WS-AW21-HT-01-Q3 Camel/Black,Ä 47.00,Brown,Hi-Tec,208853491,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45"
Trekker Boots HI-TEC,Haites Mid AVSAW20-HT-01-Q3 Camel/Brown/Beige,Ä 66.00,Brown,Hi-Tec,208853477,not defined,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45"
Trekker Boots HI-TEC,Hewila Mid Wp AVSAW21-HT-CN-01 Black,Ä 66.00,Black,Hi-Tec,208853453,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45 , 46"
Trainers GUESS,FM5RUN FAB12 GREEN,Ä 131.00,Green,Guess,208839075,not defined,New, product not in sale ,All year round,46
Footwear ASICS,Gel-Beyond 6 1071A049 French Blue/Marigold Orange 400,Ä 109.00,Navy Blue,Asics,208837811,Flat,0%, product not in sale ,All year round,"40 , 40.5 , 41.5 , 42 , 42.5 , 43.5 , 44 , 44.5 , 45 , 46"
Trainers SKECHERS,What A Thrill 999298/BBK Black,Ä 90.00,Black,Skechers,208833059,Flat,-16%,Ä 76.00,All year round,"41 , 42 , 43 , 44 , 45"
Footwear SKECHERS,Rytas 200021EC/BLK Black,Ä 95.00,Black,Skechers,208832700,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45 , 46 , 47.5"
